x	y	habitat
0	0	stream
0	20	slope
0	40	slope
0	60	slope
0	80	slope
0	100	slope
0	120	slope
0	140	low_plateau
0	160	low_plateau
0	180	low_plateau
0	200	low_plateau
0	220	low_plateau
0	240	low_plateau
0	260	low_plateau
0	280	low_plateau
0	300	low_plateau
0	320	low_plateau
0	340	low_plateau
0	360	low_plateau
0	380	low_plateau
0	400	slope
0	420	slope
0	440	slope
0	460	slope
0	480	slope
20	0	slope
20	20	stream
20	40	slope
20	60	low_plateau
20	80	slope
20	100	low_plateau
20	120	low_plateau
20	140	low_plateau
20	160	low_plateau
20	180	low_plateau
20	200	low_plateau
20	220	low_plateau
20	240	low_plateau
20	260	low_plateau
20	280	low_plateau
20	300	low_plateau
20	320	low_plateau
20	340	low_plateau
20	360	low_plateau
20	380	low_plateau
20	400	low_plateau
20	420	slope
20	440	slope
20	460	slope
20	480	slope
40	0	slope
40	20	stream
40	40	slope
40	60	slope
40	80	low_plateau
40	100	low_plateau
40	120	low_plateau
40	140	low_plateau
40	160	low_plateau
40	180	low_plateau
40	200	low_plateau
40	220	low_plateau
40	240	low_plateau
40	260	low_plateau
40	280	low_plateau
40	300	low_plateau
40	320	low_plateau
40	340	low_plateau
40	360	low_plateau
40	380	low_plateau
40	400	low_plateau
40	420	slope
40	440	slope
40	460	slope
40	480	low_plateau
60	0	low_plateau
60	20	stream
60	40	stream
60	60	stream
60	80	stream
60	100	slope
60	120	low_plateau
60	140	low_plateau
60	160	low_plateau
60	180	low_plateau
60	200	low_plateau
60	220	low_plateau
60	240	low_plateau
60	260	low_plateau
60	280	low_plateau
60	300	low_plateau
60	320	low_plateau
60	340	low_plateau
60	360	low_plateau
60	380	low_plateau
60	400	low_plateau
60	420	low_plateau
60	440	slope
60	460	slope
60	480	low_plateau
80	0	low_plateau
80	20	low_plateau
80	40	slope
80	60	slope
80	80	stream
80	100	stream
80	120	stream
80	140	stream
80	160	low_plateau
80	180	low_plateau
80	200	low_plateau
80	220	low_plateau
80	240	low_plateau
80	260	low_plateau
80	280	low_plateau
80	300	low_plateau
80	320	low_plateau
80	340	low_plateau
80	360	low_plateau
80	380	low_plateau
80	400	low_plateau
80	420	low_plateau
80	440	low_plateau
80	460	slope
80	480	slope
100	0	low_plateau
100	20	low_plateau
100	40	low_plateau
100	60	low_plateau
100	80	low_plateau
100	100	low_plateau
100	120	low_plateau
100	140	stream
100	160	stream
100	180	low_plateau
100	200	low_plateau
100	220	low_plateau
100	240	low_plateau
100	260	low_plateau
100	280	low_plateau
100	300	low_plateau
100	320	low_plateau
100	340	low_plateau
100	360	low_plateau
100	380	low_plateau
100	400	low_plateau
100	420	low_plateau
100	440	low_plateau
100	460	low_plateau
100	480	low_plateau
120	0	low_plateau
120	20	low_plateau
120	40	low_plateau
120	60	low_plateau
120	80	low_plateau
120	100	low_plateau
120	120	low_plateau
120	140	low_plateau
120	160	stream
120	180	stream
120	200	low_plateau
120	220	low_plateau
120	240	low_plateau
120	260	low_plateau
120	280	low_plateau
120	300	low_plateau
120	320	low_plateau
120	340	low_plateau
120	360	low_plateau
120	380	low_plateau
120	400	low_plateau
120	420	low_plateau
120	440	low_plateau
120	460	low_plateau
120	480	low_plateau
140	0	low_plateau
140	20	low_plateau
140	40	low_plateau
140	60	low_plateau
140	80	slope
140	100	slope
140	120	low_plateau
140	140	low_plateau
140	160	low_plateau
140	180	stream
140	200	low_plateau
140	220	low_plateau
140	240	low_plateau
140	260	low_plateau
140	280	low_plateau
140	300	low_plateau
140	320	low_plateau
140	340	low_plateau
140	360	low_plateau
140	380	low_plateau
140	400	low_plateau
140	420	low_plateau
140	440	low_plateau
140	460	low_plateau
140	480	low_plateau
160	0	low_plateau
160	20	low_plateau
160	40	low_plateau
160	60	low_plateau
160	80	low_plateau
160	100	low_plateau
160	120	low_plateau
160	140	low_plateau
160	160	low_plateau
160	180	low_plateau
160	200	stream
160	220	low_plateau
160	240	low_plateau
160	260	low_plateau
160	280	low_plateau
160	300	low_plateau
160	320	low_plateau
160	340	low_plateau
160	360	low_plateau
160	380	low_plateau
160	400	low_plateau
160	420	low_plateau
160	440	low_plateau
160	460	low_plateau
160	480	low_plateau
180	0	low_plateau
180	20	low_plateau
180	40	low_plateau
180	60	low_plateau
180	80	low_plateau
180	100	low_plateau
180	120	low_plateau
180	140	low_plateau
180	160	low_plateau
180	180	low_plateau
180	200	stream
180	220	stream
180	240	low_plateau
180	260	low_plateau
180	280	low_plateau
180	300	low_plateau
180	320	low_plateau
180	340	low_plateau
180	360	low_plateau
180	380	low_plateau
180	400	low_plateau
180	420	low_plateau
180	440	low_plateau
180	460	low_plateau
180	480	low_plateau
200	0	slope
200	20	low_plateau
200	40	low_plateau
200	60	low_plateau
200	80	low_plateau
200	100	low_plateau
200	120	low_plateau
200	140	low_plateau
200	160	low_plateau
200	180	low_plateau
200	200	low_plateau
200	220	stream
200	240	low_plateau
200	260	low_plateau
200	280	low_plateau
200	300	low_plateau
200	320	low_plateau
200	340	low_plateau
200	360	low_plateau
200	380	low_plateau
200	400	low_plateau
200	420	low_plateau
200	440	low_plateau
200	460	low_plateau
200	480	low_plateau
220	0	slope
220	20	low_plateau
220	40	low_plateau
220	60	low_plateau
220	80	low_plateau
220	100	low_plateau
220	120	low_plateau
220	140	low_plateau
220	160	low_plateau
220	180	low_plateau
220	200	low_plateau
220	220	mixed
220	240	mixed
220	260	low_plateau
220	280	low_plateau
220	300	low_plateau
220	320	low_plateau
220	340	low_plateau
220	360	low_plateau
220	380	low_plateau
220	400	low_plateau
220	420	low_plateau
220	440	low_plateau
220	460	low_plateau
220	480	low_plateau
240	0	slope
240	20	low_plateau
240	40	low_plateau
240	60	low_plateau
240	80	low_plateau
240	100	low_plateau
240	120	low_plateau
240	140	low_plateau
240	160	low_plateau
240	180	low_plateau
240	200	low_plateau
240	220	mixed
240	240	swamp
240	260	mixed
240	280	mixed
240	300	low_plateau
240	320	low_plateau
240	340	low_plateau
240	360	low_plateau
240	380	low_plateau
240	400	low_plateau
240	420	low_plateau
240	440	low_plateau
240	460	low_plateau
240	480	low_plateau
260	0	slope
260	20	slope
260	40	low_plateau
260	60	low_plateau
260	80	low_plateau
260	100	low_plateau
260	120	low_plateau
260	140	low_plateau
260	160	low_plateau
260	180	low_plateau
260	200	low_plateau
260	220	mixed
260	240	swamp
260	260	swamp
260	280	swamp
260	300	swamp
260	320	low_plateau
260	340	low_plateau
260	360	low_plateau
260	380	low_plateau
260	400	low_plateau
260	420	low_plateau
260	440	low_plateau
260	460	low_plateau
260	480	low_plateau
280	0	slope
280	20	slope
280	40	low_plateau
280	60	low_plateau
280	80	low_plateau
280	100	low_plateau
280	120	low_plateau
280	140	low_plateau
280	160	low_plateau
280	180	low_plateau
280	200	low_plateau
280	220	low_plateau
280	240	mixed
280	260	mixed
280	280	swamp
280	300	swamp
280	320	low_plateau
280	340	low_plateau
280	360	low_plateau
280	380	low_plateau
280	400	low_plateau
280	420	low_plateau
280	440	low_plateau
280	460	low_plateau
280	480	low_plateau
300	0	slope
300	20	slope
300	40	low_plateau
300	60	low_plateau
300	80	low_plateau
300	100	low_plateau
300	120	low_plateau
300	140	low_plateau
300	160	low_plateau
300	180	low_plateau
300	200	low_plateau
300	220	low_plateau
300	240	mixed
300	260	mixed
300	280	swamp
300	300	mixed
300	320	low_plateau
300	340	low_plateau
300	360	low_plateau
300	380	low_plateau
300	400	low_plateau
300	420	low_plateau
300	440	low_plateau
300	460	low_plateau
300	480	mixed
320	0	slope
320	20	slope
320	40	slope
320	60	low_plateau
320	80	low_plateau
320	100	low_plateau
320	120	low_plateau
320	140	low_plateau
320	160	low_plateau
320	180	low_plateau
320	200	low_plateau
320	220	low_plateau
320	240	mixed
320	260	swamp
320	280	mixed
320	300	low_plateau
320	320	low_plateau
320	340	low_plateau
320	360	low_plateau
320	380	low_plateau
320	400	low_plateau
320	420	low_plateau
320	440	low_plateau
320	460	low_plateau
320	480	mixed
340	0	slope
340	20	slope
340	40	slope
340	60	low_plateau
340	80	low_plateau
340	100	low_plateau
340	120	low_plateau
340	140	low_plateau
340	160	low_plateau
340	180	low_plateau
340	200	low_plateau
340	220	low_plateau
340	240	mixed
340	260	swamp
340	280	swamp
340	300	low_plateau
340	320	low_plateau
340	340	low_plateau
340	360	low_plateau
340	380	low_plateau
340	400	low_plateau
340	420	low_plateau
340	440	low_plateau
340	460	low_plateau
340	480	mixed
360	0	slope
360	20	slope
360	40	slope
360	60	slope
360	80	low_plateau
360	100	low_plateau
360	120	low_plateau
360	140	low_plateau
360	160	low_plateau
360	180	low_plateau
360	200	low_plateau
360	220	mixed
360	240	swamp
360	260	swamp
360	280	swamp
360	300	low_plateau
360	320	low_plateau
360	340	low_plateau
360	360	low_plateau
360	380	low_plateau
360	400	low_plateau
360	420	low_plateau
360	440	low_plateau
360	460	low_plateau
360	480	low_plateau
380	0	slope
380	20	slope
380	40	slope
380	60	slope
380	80	low_plateau
380	100	low_plateau
380	120	low_plateau
380	140	low_plateau
380	160	low_plateau
380	180	low_plateau
380	200	mixed
380	220	swamp
380	240	swamp
380	260	swamp
380	280	mixed
380	300	low_plateau
380	320	low_plateau
380	340	low_plateau
380	360	low_plateau
380	380	low_plateau
380	400	low_plateau
380	420	low_plateau
380	440	low_plateau
380	460	low_plateau
380	480	low_plateau
400	0	slope
400	20	slope
400	40	slope
400	60	slope
400	80	low_plateau
400	100	low_plateau
400	120	low_plateau
400	140	low_plateau
400	160	low_plateau
400	180	low_plateau
400	200	swamp
400	220	swamp
400	240	swamp
400	260	mixed
400	280	mixed
400	300	low_plateau
400	320	low_plateau
400	340	low_plateau
400	360	low_plateau
400	380	low_plateau
400	400	low_plateau
400	420	low_plateau
400	440	low_plateau
400	460	low_plateau
400	480	low_plateau
420	0	slope
420	20	slope
420	40	slope
420	60	slope
420	80	low_plateau
420	100	low_plateau
420	120	low_plateau
420	140	low_plateau
420	160	low_plateau
420	180	mixed
420	200	swamp
420	220	swamp
420	240	swamp
420	260	swamp
420	280	mixed
420	300	low_plateau
420	320	low_plateau
420	340	low_plateau
420	360	slope
420	380	slope
420	400	slope
420	420	slope
420	440	young
420	460	mixed
420	480	low_plateau
440	0	low_plateau
440	20	slope
440	40	slope
440	60	slope
440	80	slope
440	100	low_plateau
440	120	low_plateau
440	140	low_plateau
440	160	low_plateau
440	180	mixed
440	200	swamp
440	220	swamp
440	240	swamp
440	260	swamp
440	280	swamp
440	300	mixed
440	320	low_plateau
440	340	low_plateau
440	360	low_plateau
440	380	low_plateau
440	400	low_plateau
440	420	low_plateau
440	440	mixed
440	460	young
440	480	low_plateau
460	0	slope
460	20	slope
460	40	slope
460	60	low_plateau
460	80	slope
460	100	low_plateau
460	120	low_plateau
460	140	low_plateau
460	160	low_plateau
460	180	mixed
460	200	mixed
460	220	mixed
460	240	swamp
460	260	mixed
460	280	mixed
460	300	mixed
460	320	slope
460	340	low_plateau
460	360	low_plateau
460	380	low_plateau
460	400	low_plateau
460	420	low_plateau
460	440	low_plateau
460	460	young
460	480	young
480	0	slope
480	20	slope
480	40	slope
480	60	slope
480	80	slope
480	100	low_plateau
480	120	low_plateau
480	140	low_plateau
480	160	low_plateau
480	180	low_plateau
480	200	low_plateau
480	220	slope
480	240	slope
480	260	slope
480	280	slope
480	300	slope
480	320	slope
480	340	low_plateau
480	360	low_plateau
480	380	low_plateau
480	400	low_plateau
480	420	low_plateau
480	440	mixed
480	460	young
480	480	young
500	0	slope
500	20	slope
500	40	slope
500	60	slope
500	80	slope
500	100	low_plateau
500	120	low_plateau
500	140	low_plateau
500	160	low_plateau
500	180	low_plateau
500	200	low_plateau
500	220	slope
500	240	low_plateau
500	260	low_plateau
500	280	low_plateau
500	300	low_plateau
500	320	low_plateau
500	340	low_plateau
500	360	low_plateau
500	380	low_plateau
500	400	mixed
500	420	hi_plateau
500	440	mixed
500	460	young
500	480	young
520	0	slope
520	20	slope
520	40	slope
520	60	slope
520	80	low_plateau
520	100	low_plateau
520	120	low_plateau
520	140	low_plateau
520	160	low_plateau
520	180	low_plateau
520	200	low_plateau
520	220	low_plateau
520	240	low_plateau
520	260	low_plateau
520	280	low_plateau
520	300	low_plateau
520	320	low_plateau
520	340	low_plateau
520	360	mixed
520	380	mixed
520	400	hi_plateau
520	420	hi_plateau
520	440	mixed
520	460	young
520	480	young
540	0	slope
540	20	slope
540	40	slope
540	60	low_plateau
540	80	low_plateau
540	100	low_plateau
540	120	low_plateau
540	140	low_plateau
540	160	low_plateau
540	180	low_plateau
540	200	low_plateau
540	220	low_plateau
540	240	low_plateau
540	260	low_plateau
540	280	low_plateau
540	300	low_plateau
540	320	mixed
540	340	mixed
540	360	hi_plateau
540	380	hi_plateau
540	400	hi_plateau
540	420	hi_plateau
540	440	mixed
540	460	young
540	480	young
560	0	slope
560	20	slope
560	40	slope
560	60	slope
560	80	low_plateau
560	100	low_plateau
560	120	low_plateau
560	140	low_plateau
560	160	low_plateau
560	180	low_plateau
560	200	low_plateau
560	220	low_plateau
560	240	low_plateau
560	260	low_plateau
560	280	low_plateau
560	300	mixed
560	320	mixed
560	340	hi_plateau
560	360	hi_plateau
560	380	hi_plateau
560	400	hi_plateau
560	420	hi_plateau
560	440	young
560	460	young
560	480	young
580	0	slope
580	20	low_plateau
580	40	slope
580	60	slope
580	80	low_plateau
580	100	low_plateau
580	120	low_plateau
580	140	low_plateau
580	160	low_plateau
580	180	low_plateau
580	200	low_plateau
580	220	mixed
580	240	mixed
580	260	mixed
580	280	mixed
580	300	hi_plateau
580	320	hi_plateau
580	340	hi_plateau
580	360	hi_plateau
580	380	hi_plateau
580	400	hi_plateau
580	420	hi_plateau
580	440	young
580	460	young
580	480	young
600	0	low_plateau
600	20	slope
600	40	slope
600	60	low_plateau
600	80	low_plateau
600	100	low_plateau
600	120	low_plateau
600	140	low_plateau
600	160	low_plateau
600	180	mixed
600	200	mixed
600	220	hi_plateau
600	240	hi_plateau
600	260	hi_plateau
600	280	hi_plateau
600	300	hi_plateau
600	320	hi_plateau
600	340	hi_plateau
600	360	hi_plateau
600	380	hi_plateau
600	400	hi_plateau
600	420	hi_plateau
600	440	young
600	460	young
600	480	young
620	0	low_plateau
620	20	low_plateau
620	40	low_plateau
620	60	low_plateau
620	80	low_plateau
620	100	low_plateau
620	120	low_plateau
620	140	mixed
620	160	mixed
620	180	mixed
620	200	hi_plateau
620	220	hi_plateau
620	240	hi_plateau
620	260	hi_plateau
620	280	hi_plateau
620	300	hi_plateau
620	320	hi_plateau
620	340	hi_plateau
620	360	hi_plateau
620	380	hi_plateau
620	400	hi_plateau
620	420	young
620	440	young
620	460	young
620	480	young
640	0	low_plateau
640	20	low_plateau
640	40	low_plateau
640	60	slope
640	80	low_plateau
640	100	slope
640	120	low_plateau
640	140	mixed
640	160	hi_plateau
640	180	hi_plateau
640	200	hi_plateau
640	220	hi_plateau
640	240	hi_plateau
640	260	hi_plateau
640	280	hi_plateau
640	300	hi_plateau
640	320	hi_plateau
640	340	hi_plateau
640	360	hi_plateau
640	380	hi_plateau
640	400	hi_plateau
640	420	young
640	440	young
640	460	young
640	480	young
660	0	slope
660	20	slope
660	40	low_plateau
660	60	low_plateau
660	80	slope
660	100	slope
660	120	mixed
660	140	hi_plateau
660	160	hi_plateau
660	180	hi_plateau
660	200	hi_plateau
660	220	hi_plateau
660	240	hi_plateau
660	260	hi_plateau
660	280	hi_plateau
660	300	hi_plateau
660	320	hi_plateau
660	340	hi_plateau
660	360	hi_plateau
660	380	hi_plateau
660	400	mixed
660	420	young
660	440	young
660	460	young
660	480	young
680	0	slope
680	20	slope
680	40	slope
680	60	slope
680	80	slope
680	100	slope
680	120	mixed
680	140	hi_plateau
680	160	hi_plateau
680	180	hi_plateau
680	200	hi_plateau
680	220	hi_plateau
680	240	hi_plateau
680	260	hi_plateau
680	280	hi_plateau
680	300	hi_plateau
680	320	hi_plateau
680	340	hi_plateau
680	360	hi_plateau
680	380	hi_plateau
680	400	young
680	420	young
680	440	young
680	460	young
680	480	young
700	0	low_plateau
